dataset,label,tier,method,status,stop_reason,iterations,rmse,psnr,ssim,full_image_rmse,full_image_psnr,full_image_ssim,water_background_rmse
openbreastus,HET,matched,straight_cgls,success,objective_plateau,118,15.306550133926914,18.048597525310377,0.6230082307188608,6.834819182568278,25.051603298039083,0.907197479681665,1.3472644564122314
openbreastus,HET,matched,straight_sirt,success,small_model_update,592,24.36796428798036,14.009758900630855,0.5425669954377116,10.740610677216297,21.125564397459296,0.8990586544097154,0.915534287609306
openbreastus,HET,matched,straight_sart,success,small_model_update,230,23.975122921345324,14.150927041187689,0.5438526147033166,10.57235858439683,21.262706196120615,0.8985720258117303,0.9694157018351391
openbreastus,HET,matched,bent_ray_gn,success,max_iterations,20,18.786197403336313,16.269366260152225,0.4236090063156669,9.67818726496002,22.030263469139,0.6461022673384647,5.622295976923958
openbreastus,HET,matched,ray_born,success,max_iterations,400,3.8633218998012566,30.006925972077703,0.8655996072061731,2.5262459187073656,33.696631393100134,0.8262315118770476,2.0825264761961906
openbreastus,HET,matched,fwi_reference,stored_reference,historical_schedule_completed,63,10.012810234406384,21.735024183588642,0.5304151390315516,14.049424863138851,18.79297297045116,0.36842358894330907,14.853826064236173
openbreastus,FIB,matched,straight_cgls,success,objective_plateau,108,13.785650945654236,22.377506259942454,0.7077591604156377,6.298103697406582,29.181855678956307,0.9325701063332557,1.2201140154126853
openbreastus,FIB,matched,straight_sirt,success,small_model_update,603,23.778039702443657,17.642530860825808,0.6017746088567186,10.765667086927644,24.525232903257557,0.9166712716522061,1.335400305912551
openbreastus,FIB,matched,straight_sart,success,small_model_update,233,23.39101808732999,17.78506932285896,0.6035864371885659,10.600791945618791,24.65928559817025,0.9166613484240551,1.4144845421881667
openbreastus,FIB,matched,bent_ray_gn,success,max_iterations,20,15.379311212165822,21.42731411199922,0.5894899632123191,7.993989168393981,27.110780708735994,0.7846100792452692,4.481059458440487
openbreastus,FIB,matched,ray_born,success,max_iterations,400,3.485721277170694,34.320198669958415,0.919426624800636,2.350876826077377,37.741454319890266,0.906526090344508,1.960877013479239
openbreastus,FIB,matched,fwi_reference,stored_reference,historical_schedule_completed,63,8.956713872953323,26.123077804815594,0.6627340488291512,12.951427227926605,22.91969922496897,0.5448236491356401,13.782521462648242
openbreastus,FAT,matched,straight_cgls,success,objective_plateau,114,16.34594902249933,17.40457695738723,0.5878222086040762,7.286238251656114,24.42271239930854,0.8984508574742698,1.390553962946042
openbreastus,FAT,matched,straight_sirt,success,small_model_update,585,24.871504884909747,13.758738487623194,0.5132167423560322,10.959900438284013,20.876647581591094,0.8926481115783844,1.0090555867850481
openbreastus,FAT,matched,straight_sart,success,small_model_update,228,24.506874109088784,13.887021364120828,0.5147338481879155,10.802856186339428,21.002007869555346,0.8921593061244703,1.0420286148112157
openbreastus,FAT,matched,bent_ray_gn,success,max_iterations,20,19.263655502703458,15.978005699956517,0.3996748051817453,9.721143198956888,21.918432948199154,0.6432983418307237,5.3305553773681
openbreastus,FAT,matched,ray_born,success,max_iterations,400,4.067548928836771,29.48612404473193,0.8654676257712466,2.619604390243425,33.308065568735024,0.8203718491480596,2.1327993793902724
openbreastus,FAT,matched,fwi_reference,stored_reference,historical_schedule_completed,63,9.958745996649686,21.708686648922782,0.5531262936742133,13.994455620013628,18.753659576525315,0.3673611794577546,14.796687175532801
openbreastus,EXD,matched,straight_cgls,success,objective_plateau,117,11.219745367266066,20.454387185746086,0.7154102538975826,4.990374542876276,27.49138436012369,0.9278967365447323,1.1105482024551783
openbreastus,EXD,matched,straight_sirt,success,small_model_update,580,16.365516390152894,17.175452931781546,0.6767394557074118,7.183987963216929,24.326735279670576,0.9243874809783508,0.9619257284613676
openbreastus,EXD,matched,straight_sart,success,small_model_update,221,16.19276677100565,17.26762598650606,0.6774313730861415,7.108896359799826,24.41800354525471,0.9241428345654675,0.9585744397583617
openbreastus,EXD,matched,bent_ray_gn,success,max_iterations,20,12.18911720078923,19.73460214176447,0.5225211047187887,6.353355786397544,25.393983671588135,0.7300715344039498,3.8729419062965618
openbreastus,EXD,matched,ray_born,success,max_iterations,400,3.0033694128291653,31.9018721301839,0.8809494732722608,1.883691719278548,35.95385062723109,0.8769995548901108,1.5051959542521651
openbreastus,EXD,matched,fwi_reference,stored_reference,historical_schedule_completed,63,8.91718221632798,22.449494374968,0.4298559569751758,13.91487505005898,18.584460981664918,0.3481701559438652,14.844924730455228
openbreastus,HET,kwave_fullrate,straight_cgls,success,objective_plateau,278,62.27788329116143,5.859467025248523,0.14867849899621222,30.12748674615553,12.166885809709097,0.6235874932590142,14.019070013972222
openbreastus,HET,kwave_fullrate,straight_sirt,success,small_model_update,853,43.88899710831854,8.899030750006311,0.3636710911199416,20.167834669184998,15.652958442104408,0.821915565244976,6.559057109020766
openbreastus,HET,kwave_fullrate,straight_sart,success,small_model_update,315,45.11521049106047,8.659684131684301,0.34168482314401705,21.242392370980077,15.20207536129589,0.7839143069039585,8.487994227374333
openbreastus,HET,kwave_fullrate,bent_ray_gn,success,max_iterations,20,130.7474537619676,-0.5825209082573178,0.05736750478077158,97.03434507921371,2.0076343112041743,0.4073766266465651,87.04884461401807
openbreastus,HET,kwave_fullrate,ray_born,success,max_iterations,12,35.34472784781437,10.779651051635629,0.25886113796270194,19.367190009786107,16.00481162303456,0.46358933922184764,12.87795304102607
openbreastus,HET,kwave_fullrate,fwi_reference,stored_reference,historical_schedule_completed,63,10.012810234406384,21.735024183588642,0.5304151390315516,14.049424863138851,18.79297297045116,0.36842358894330907,14.853826064236173
openbreastus,FIB,kwave_fullrate,straight_cgls,success,objective_plateau,293,66.32390633997989,8.732649871392242,0.18884351870374,34.86005514346287,14.319490422830143,0.6621318258920541,20.173579438075986
openbreastus,FIB,kwave_fullrate,straight_sirt,success,small_model_update,844,43.99152911418253,12.298670658001464,0.4335552489512425,21.50775476581211,18.514150299081393,0.8527324002495281,9.41844791816223
openbreastus,FIB,kwave_fullrate,straight_sart,success,small_model_update,349,45.638466567958716,11.979430940292385,0.4130417185850068,22.631024192134376,18.071967640544088,0.8329400128921561,10.648852995435034
openbreastus,FIB,kwave_fullrate,bent_ray_gn,success,max_iterations,20,142.12201655135897,2.1128245979039244,0.07165342651274131,103.48785412240944,4.86826418402503,0.4174376256917395,91.10829114120837
openbreastus,FIB,kwave_fullrate,ray_born,success,max_iterations,12,26.788728740291003,16.607009725255,0.39313246988733636,14.549502324998276,21.909089052988307,0.5578959154318135,9.123584770774476
openbreastus,FIB,kwave_fullrate,fwi_reference,stored_reference,historical_schedule_completed,63,8.956713872953323,26.123077804815594,0.6627340488291512,12.951427227926605,22.91969922496897,0.5448236491356401,13.782521462648242
openbreastus,FAT,kwave_fullrate,straight_cgls,success,objective_plateau,226,63.844025852788604,5.570374465010924,0.13233741357205567,31.188810987484857,11.792803391852045,0.6292304242798578,15.20718846771267
openbreastus,FAT,kwave_fullrate,straight_sirt,success,small_model_update,913,44.84277090521124,8.638930950927506,0.3497883192966975,20.611245878951213,15.39069487710619,0.8220048947043297,6.772330915337451
openbreastus,FAT,kwave_fullrate,straight_sart,success,small_model_update,342,46.00821799458171,8.416071513646266,0.32754841110431215,21.67208314661048,14.954766596077054,0.7873650445446961,8.725768476443962
openbreastus,FAT,kwave_fullrate,bent_ray_gn,success,max_iterations,20,129.6313585074151,-0.5814216865347006,0.052055322181264796,93.92973782592404,2.216717557774095,0.40480902069442365,83.16103498590473
openbreastus,FAT,kwave_fullrate,ray_born,success,max_iterations,12,17.23320680247873,16.945457767151343,0.49955954465221664,9.839919955085573,21.812948449021516,0.5661218954698665,6.999960555180325
openbreastus,FAT,kwave_fullrate,fwi_reference,stored_reference,historical_schedule_completed,63,9.958745996649686,21.708686648922782,0.5531262936742133,13.994455620013628,18.753659576525315,0.3673611794577546,14.796687175532801
openbreastus,EXD,kwave_fullrate,straight_cgls,success,objective_plateau,323,58.421529505569104,6.122588742878533,0.1946950911928428,29.13970180444935,12.164345135897852,0.642479046633445,15.751326059323032
openbreastus,EXD,kwave_fullrate,straight_sirt,success,small_model_update,852,38.94532004246588,9.644941657470074,0.4520803302218894,18.05160662410306,16.323729981259998,0.847054310947338,6.83418645798126
openbreastus,EXD,kwave_fullrate,straight_sart,success,small_model_update,310,42.94012536009959,8.796781039877112,0.4098229678534508,20.376035702104105,15.271653341440622,0.809327878360346,8.960299110922511
openbreastus,EXD,kwave_fullrate,bent_ray_gn,success,max_iterations,20,132.14150081359088,-0.9667375014359957,0.17368748608711748,102.49942589747552,1.2396185416167653,0.42839677995627745,94.21119268658242
openbreastus,EXD,kwave_fullrate,ray_born,success,max_iterations,12,6.699868315544247,24.93272186322507,0.4899951429459099,4.865700148426888,27.71114036420739,0.6208083326048403,4.324631523050835
openbreastus,EXD,kwave_fullrate,fwi_reference,stored_reference,historical_schedule_completed,63,8.91718221632798,22.449494374968,0.4298559569751758,13.91487505005898,18.584460981664918,0.3481701559438652,14.844924730455228
nbpslice2d,A,matched,straight_cgls,success,objective_plateau,113,8.693719223158944,21.294352716642226,0.6238097304054834,5.625439408233041,25.075335889320478,0.8250936255280374,1.1724955907447714
nbpslice2d,A,matched,straight_sirt,success,small_model_update,542,12.245496622544595,18.318936857123322,0.5832221044420584,7.8294436204542635,22.20384689191555,0.8123759110909107,0.46905095206349307
nbpslice2d,A,matched,straight_sart,success,small_model_update,208,12.199691079784412,18.351488241855833,0.583846415539822,7.805058586780056,22.2309415675575,0.8117934292725977,0.5895447400752027
